time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	6.93539e-310	0	0	0	0	0	0
1477010443349642	0.244842	-0.244842	0	0	0	radar	1.87514	0	0	0	0	0	0
1477010444349642	1.48539	-0.100027	0.642492	-2.14672e-17	3.46945e-18	lidar	4.14479	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.59598	0.0197085	1.19714	-0.0888983	-0.044719	radar	9.84436	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.51772	0.401104	2.5157	-0.0496733	-0.373165	lidar	37.5102	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.61198	0.338263	2.6814	-0.278032	-0.618226	radar	7.51962	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.6772	0.517426	3.75208	0.4365	-0.387082	lidar	15.42	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.63602	0.515012	3.5264	0.719455	0.375879	radar	1.96158	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.16675	0.724029	2.65012	0.205242	-0.197624	lidar	10.2971	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.10933	0.759709	2.61263	0.24219	-0.17139	radar	0.972412	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5759	1.62513	2.66961	0.294687	-0.0303686	lidar	0.930574	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5443	1.59567	2.60124	0.285257	-0.0340956	radar	0.510003	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6685	2.31861	2.30697	0.31166	0.00475716	lidar	1.4063	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6895	2.28607	2.40613	0.289471	-0.0122975	radar	1.04883	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.5193	2.88989	2.88758	0.173868	-0.0752306	lidar	3.81739	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.4701	2.88029	2.80777	0.175986	-0.0738905	radar	0.612471	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0375	3.6809	2.71867	0.290259	0.0352253	lidar	0.711364	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0724	3.69967	2.67526	0.299792	0.0443757	radar	1.5971	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3684	4.7235	2.55172	0.452737	0.110575	lidar	0.466879	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.4376	4.73048	2.7056	0.437581	0.0950317	radar	1.14517	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0456	5.59189	2.7597	0.329564	-0.0262538	lidar	0.826775	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1616	5.62734	2.95382	0.316602	-0.036996	radar	3.58947	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6491	6.93955	2.83084	0.494604	0.0904457	lidar	1.1014	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6551	6.93361	2.91474	0.483098	0.0761705	radar	0.557821	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5234	8.09045	3.10622	0.379288	-0.0360401	lidar	1.27994	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5148	8.09163	3.0778	0.382428	-0.0334659	radar	0.0626119	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9835	9.84626	2.99692	0.649168	0.147392	lidar	1.80273	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9425	9.82665	2.96354	0.646493	0.14455	radar	0.825	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.5999	10.7799	2.73398	0.359997	-0.115949	lidar	4.13209	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
